#IXO 3.2 m diameter 20 m focal length prescription file,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"P Reid June 7, 2008",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"Use Shells 73-172 (outer module); 185-302 (middle module), and 321-461 (inner module).",,,,,,,,,,,,,,,,,
#"Outer module also missing shells 85, 99, 113,...,169 (left off for weight savings)",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Prescription forms:,,,,,,,,,,,,,,,,,
#,primary - ,r^2 = (d+a+z)^2 - (a+z)^2,,,,,,,,,,,,,,,
#,secondary - ,r^2 = e^2 * (d+z)^2 - z^2,,,,,,,,,,,,,,,
## Note: For the primary, r = r(z), and z runs from 20025 to 20225.  Then
##  r_int = r(20025) 
##  r_aft = r(20225)
#,,,,,,,,,,,,,,,,,
#,"where z=axial direction, z= 0 at nominal on-axis focus, P runs from Z = 20025 mm to 20225 mm,
## and S runs from Z = 19975 mm to 19775 mm",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
shell,r_int (mm),r_aft (mm),r_for (mm),alpha (rad),graze (rad),d (mm),e,a (mm),ca (cm^2),graze (rad),rh forward,rh aft,Weight (kg),h graze (rad)
116,1401.404163,1401.841363,1405.334071,0.017488967,0.017461765,24.511609965,1.001224829,20049.0382220152,308.022695471249,0.017461765,1400.091217,1389.582680,3.530671,0.052494414
117,1396.928707,1397.364516,1400.846104,0.017433296,0.017406180,24.355539135,1.001217035,20048.7258900349,306.061446990297,0.017406180,1395.619949,1385.144923,3.519395,0.052327315
118,1392.464597,1392.899017,1396.369512,0.017377765,0.017350735,24.200358227,1.001209286,20048.4153401868,304.111381614975,0.017350735,1391.160014,1380.718416,3.508148,0.052160633
119,1388.011801,1388.444836,1391.904267,0.017322372,0.017295429,24.046062495,1.001201580,20048.1065629513,302.172439731076,0.017295429,1386.711384,1376.303130,3.496930,0.051994370
120,1383.570291,1384.001945,1387.450339,0.017267119,0.017240261,23.892647217,1.001193919,20047.7995488649,300.244561994137,0.017240261,1382.274030,1371.899035,3.485740,0.051828522
121,1379.140039,1379.570315,1383.007699,0.017212004,0.017185231,23.740107698,1.001186301,20047.4942885051,298.327689374208,0.017185231,1377.847923,1367.506102,3.474579,0.051663090
122,1374.721015,1375.149916,1378.576319,0.017157026,0.017130339,23.588439265,1.001178726,20047.1907725017,296.421763178373,0.017130339,1373.433033,1363.124304,3.463445,0.051498072
123,1370.313190,1370.740720,1374.156169,0.017102187,0.017075584,23.437637269,1.001171195,20046.8889915268,294.526724990889,0.017075584,1369.029332,1358.753611,3.452340,0.051333468
124,1365.916535,1366.342697,1369.747220,0.017047485,0.017020967,23.287697087,1.001163707,20046.5889363207,292.642516673208,0.017020967,1364.636792,1354.393995,3.441264,0.051169275
125,1361.531023,1361.955820,1365.349443,0.016992919,0.016966486,23.138614119,1.001156261,20046.2905976517,290.769080468655,0.016966486,1360.255382,1350.045428,3.430215,0.051005494
126,1357.156623,1357.580059,1360.962810,0.016938491,0.016912142,22.990383788,1.001148858,20045.9939663431,288.90635883788,0.016912142,1355.885075,1345.707880,3.419194,0.050842123
127,1352.793307,1353.215387,1356.587293,0.016884199,0.016857934,22.843001542,1.001141498,20045.6990332657,287.054294578552,0.016857934,1351.525842,1341.381324,3.408201,0.050679161
128,1348.441048,1348.861773,1352.222862,0.016830042,0.016803862,22.696462852,1.001134179,20045.405789336,285.212830787897,0.016803862,1347.177655,1337.065730,3.397236,0.050516607
129,1344.099816,1344.519190,1347.869488,0.016776022,0.016749925,22.550763214,1.001126902,20045.1142255267,283.381910847816,0.016749925,1342.840485,1332.761072,3.386299,0.050354461
130,1339.769583,1340.187610,1343.527145,0.016722136,0.016696123,22.405898144,1.001119667,20044.8243328466,281.561478439828,0.016696123,1338.514304,1328.467321,3.375389,0.050192720
131,1335.450321,1335.867004,1339.195802,0.016668386,0.016642456,22.261863185,1.001112474,20044.5361023538,279.751477530079,0.016642456,1334.199083,1324.184449,3.364508,0.050031385
132,1331.142001,1331.557344,1334.875433,0.016614770,0.016588924,22.118653900,1.001105321,20044.2495251559,277.951852376793,0.016588924,1329.894795,1319.912427,3.353653,0.049870454
133,1326.844596,1327.258601,1330.566008,0.016561289,0.016535525,21.976265878,1.001098210,20043.9645924101,276.162547522846,0.016535525,1325.601411,1315.651229,3.342826,0.049709926
134,1322.558077,1322.970749,1326.267500,0.016507941,0.016482260,21.834694729,1.001091139,20043.6812953006,274.383507833147,0.016482260,1321.318904,1311.400826,3.332027,0.049549800
135,1318.282417,1318.693758,1321.979880,0.016454728,0.016429129,21.693936085,1.001084109,20043.3996250927,272.614678419863,0.016429129,1317.047245,1307.161190,3.321255,0.049390075
136,1314.017587,1314.427601,1317.703120,0.016401647,0.016376131,21.553985604,1.001077119,20043.1195730559,270.856004694699,0.016376131,1312.786406,1302.932294,3.310510,0.049230750
137,1309.763560,1310.172251,1313.437194,0.016348700,0.016323266,21.414838962,1.001070169,20042.8411305443,269.10743233905,0.016323266,1308.536360,1298.714110,3.299793,0.049071824
